Category,Sentence,Pattern,Highlights
Prepositions,A Judo me obrigou a fazer isso.,noun + preposition + noun,"{""special"": [""a"", ""a""]}"
Prepositions,"Bom, na verdade ela não me obrigou.",noun + preposition + noun,"{""special"": [""na""]}"
Past simple,Eu fiz aquilo porque eu quis.,Pronouns + verb (past),"{""verbs"": [""fiz""]}"
Connecting words,Eu fiz aquilo porque eu quis.,clause + and/but/because + clause,"{""special"": [""porque""]}"
Present simple,"Nunca mais vou fazer isso, Bingo.",Subject + verb (present),"{""verbs"": [""vou""]}"
Adverbs of frequency,"Nunca mais vou fazer isso, Bingo.",Subject + adverb + verb,"{""special"": [""nunca""]}"
Prepositions,"Por favor, brinca comigo.",noun + preposition + noun,"{""special"": [""por""]}"
Present simple,A joandinha subiu pipi Não tem ninguém pra amar,Subject + verb (present),"{""verbs"": [""tem""]}"
Past simple,A joandinha subiu pipi Não tem ninguém pra amar,Pronouns + verb (past),"{""verbs"": [""subiu""]}"
Negation,A joandinha subiu pipi Não tem ninguém pra amar,não + verb,"{""special"": [""não"", ""tem""]}"
Prepositions,A joandinha subiu pipi Não tem ninguém pra amar,noun + preposition + noun,"{""special"": [""a""]}"
Present simple,Ela não sabe voar.,Subject + verb (present),"{""verbs"": [""sabe""]}"
Modal verbs,Ela não sabe voar.,pronouns + saber + verb,"{""special"": [""sabe""]}"
Negation,Ela não sabe voar.,não + verb,"{""special"": [""não"", ""sabe""]}"
Connecting words,Nem limpar o nariz.,clause + and/but/because + clause,"{""special"": [""nem""]}"
Present simple,Fala que eu não tô!,Subject + verb (present),"{""verbs"": [""Fala""]}"
Past simple,Pra onde você foi?,Pronouns + verb (past),"{""verbs"": [""foi""]}"
Questions,Pra onde você foi?,Question word + aux + subject + verb,"{""special"": [""onde""]}"
Prepositions,Põe o telefone no silencioso.,noun + preposition + noun,"{""special"": [""no""]}"
Present simple,Vocês estão aí!,Subject + verb (present),"{""verbs"": [""estão""]}"
To be (ser/estar),Vocês estão aí!,Subject + ser/estar + noun/adjective,"{""special"": [""estão""]}"
Prepositions,Vocês estavam fugindo de mim!,noun + preposition + noun,"{""special"": [""de""]}"
Past simple,Foi você que fugiu de mim!,Pronouns + verb (past),"{""verbs"": [""Foi""]}"
To be (ser/estar),Foi você que fugiu de mim!,Subject + ser/estar + noun/adjective,"{""special"": [""foi""]}"
Prepositions,Foi você que fugiu de mim!,noun + preposition + noun,"{""special"": [""de""]}"
To be (ser/estar),E também estava,Subject + ser/estar + noun/adjective,"{""special"": [""estava""]}"
Connecting words,E também estava,clause + and/but/because + clause,"{""special"": [""e""]}"
Adverbs of frequency,E também estava,Subject + adverb + verb,"{""special"": [""também""]}"
Present simple,"É verdade, eu estava.",Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),"É verdade, eu estava.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Personal information,"É verdade, eu estava.",I + verb + personal detail,"{""special"": [""é""]}"
Present simple,"De agora em diante, ninguém vai fugir de ninguém,",Subject + verb (present),"{""verbs"": [""vai""]}"
Prepositions,"De agora em diante, ninguém vai fugir de ninguém,",noun + preposition + noun,"{""special"": [""de"", ""em"", ""de""]}"
Present simple,É só não fazer isso de novo.,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É só não fazer isso de novo.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Prepositions,É só não fazer isso de novo.,noun + preposition + noun,"{""special"": [""de""]}"
Personal information,É só não fazer isso de novo.,I + verb + personal detail,"{""special"": [""é""]}"
Adverbs of frequency,É só não fazer isso de novo.,Subject + adverb + verb,"{""special"": [""só""]}"
Present simple,Pode ser a borboleta.,Subject + verb (present),"{""verbs"": [""Pode""]}"
Modal verbs,Pode ser a borboleta.,pronouns + poder + verb,"{""special"": [""Pode""]}"
Prepositions,Pode ser a borboleta.,noun + preposition + noun,"{""special"": [""a""]}"
Present simple,"Na verdade, eu quero ser a caçadora.",Subject + verb (present),"{""verbs"": [""quero""]}"
Modal verbs,"Na verdade, eu quero ser a caçadora.",pronouns + querer + verb,"{""special"": [""quero""]}"
Prepositions,"Na verdade, eu quero ser a caçadora.",noun + preposition + noun,"{""special"": [""na"", ""a""]}"
Present simple,"Ué, então quem a gente vai caçar agora?",Subject + verb (present),"{""verbs"": [""vai""]}"
Questions,"Ué, então quem a gente vai caçar agora?",Question word + aux + subject + verb,"{""special"": [""quem""]}"
Prepositions,"Ué, então quem a gente vai caçar agora?",noun + preposition + noun,"{""special"": [""a""]}"
Connecting words,"Ué, então quem a gente vai caçar agora?",clause + and/but/because + clause,"{""special"": [""então""]}"
Present simple,Nós vamos tirar a roupa do varal.,Subject + verb (present),"{""verbs"": [""vamos""]}"
Prepositions,Nós vamos tirar a roupa do varal.,noun + preposition + noun,"{""special"": [""a"", ""do""]}"
Present simple,Tirar a roupa do varal.,Subject + verb (present),"{""verbs"": [""do""]}"
Prepositions,Tirar a roupa do varal.,noun + preposition + noun,"{""special"": [""a"", ""do""]}"
Questions,"Ça va, Bluey?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Questions,Pronto pra brincar?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,Temos que pegar aquele porco selvagem!,Subject + verb (present),"{""verbs"": [""Temos""]}"
Prepositions,Ou ficaremos sem comida no inverno!,noun + preposition + noun,"{""special"": [""sem"", ""no""]}"
Connecting words,Ou ficaremos sem comida no inverno!,clause + and/but/because + clause,"{""special"": [""ou""]}"
Numbers,"Giveta uma piste, Jean!",noun + verb + number + noun,"{""special"": [""uma""]}"
To be (ser/estar),"O plano não era esse, Jean-Luc.",Subject + ser/estar + noun/adjective,"{""special"": [""era""]}"
Present simple,"Oh, eu pensei que tu ia vir do outro lado.",Subject + verb (present),"{""verbs"": [""do""]}"
Prepositions,"Oh, eu pensei que tu ia vir do outro lado.",noun + preposition + noun,"{""special"": [""do""]}"
Present simple,Hora do jantar!,Subject + verb (present),"{""verbs"": [""do""]}"
Prepositions,Hora do jantar!,noun + preposition + noun,"{""special"": [""do""]}"
Present simple,Nada de fruta.,Subject + verb (present),"{""verbs"": [""Nada""]}"
Prepositions,Nada de fruta.,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,Precisamos de um plano para pegar o porco selvagem.,Subject + verb (present),"{""verbs"": [""Precisamos""]}"
Prepositions,Precisamos de um plano para pegar o porco selvagem.,noun + preposition + noun,"{""special"": [""de"", ""para""]}"
Numbers,Precisamos de um plano para pegar o porco selvagem.,noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,Isso aqui é nossa última chance.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Isso aqui é nossa última chance.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Possessives,Isso aqui é nossa última chance.,possessive + noun,"{""special"": [""nossa""]}"
